45;&;69;&;79;&;43;&;42;&;35;&;8.09866;&;0.150881;&;TRUE;\\
41;&;68;&;91;&;45;&;36;&;32;&;6.01662;&;0.304605;&;TRUE;\\
49;&;66;&;73;&;63;&;34;&;28;&;8.52879;&;0.129401;&;TRUE;\\
47;&;75;&;78;&;44;&;31;&;38;&;5.2845;&;0.382155;&;TRUE;\\
43;&;66;&;86;&;54;&;25;&;39;&;5.22402;&;0.389157;&;TRUE;\\
44;&;64;&;88;&;52;&;29;&;36;&;5.09109;&;0.404864;&;TRUE;\\
42;&;79;&;94;&;41;&;28;&;29;&;9.24525;&;0.0996729;&;TRUE;\\
51;&;64;&;83;&;47;&;41;&;27;&;13.2193;&;0.0214081;&;TRUE;\\
57;&;78;&;71;&;44;&;24;&;39;&;16.4668;&;0.00563041;&;FALSE;\\
45;&;71;&;72;&;61;&;27;&;37;&;4.2666;&;0.511704;&;TRUE;\\
46;&;72;&;63;&;62;&;27;&;43;&;8.93905;&;0.11152;&;TRUE;\\
45;&;63;&;88;&;52;&;38;&;27;&;8.48549;&;0.131432;&;TRUE;\\
45;&;79;&;75;&;50;&;39;&;25;&;6.92031;&;0.226635;&;TRUE;\\
40;&;72;&;79;&;54;&;35;&;33;&;0.918345;&;0.968879;&;TRUE;\\
46;&;66;&;81;&;44;&;36;&;40;&;7.03786;&;0.21784;&;TRUE;\\
53;&;77;&;69;&;55;&;30;&;29;&;9.47595;&;0.0915209;&;TRUE;\\
43;&;65;&;76;&;55;&;37;&;37;&;3.55292;&;0.615396;&;TRUE;\\
41;&;78;&;75;&;61;&;29;&;29;&;2.74592;&;0.739086;&;TRUE;\\
38;&;75;&;81;&;62;&;29;&;28;&;2.87954;&;0.718551;&;TRUE;\\
40;&;76;&;94;&;48;&;22;&;33;&;7.74588;&;0.170808;&;TRUE;\\
42;&;70;&;74;&;52;&;41;&;34;&;4.06778;&;0.539699;&;TRUE;\\
37;&;83;&;79;&;43;&;38;&;33;&;4.40419;&;0.492803;&;TRUE;\\
51;&;63;&;66;&;61;&;40;&;32;&;12.5257;&;0.0282529;&;TRUE;\\
36;&;71;&;83;&;50;&;34;&;39;&;1.6164;&;0.899259;&;TRUE;\\
40;&;74;&;67;&;66;&;35;&;31;&;4.92587;&;0.424993;&;TRUE;\\
46;&;72;&;80;&;56;&;30;&;29;&;3.85049;&;0.571137;&;TRUE;\\
39;&;83;&;67;&;62;&;38;&;24;&;7.88653;&;0.162601;&;TRUE;\\
45;&;78;&;79;&;51;&;31;&;29;&;3.31087;&;0.652177;&;TRUE;\\
50;&;77;&;77;&;49;&;30;&;30;&;6.33333;&;0.275122;&;TRUE;\\
36;&;85;&;74;&;58;&;27;&;33;&;2.41555;&;0.789157;&;TRUE;\\
37;&;76;&;84;&;56;&;34;&;26;&;2.9861;&;0.702129;&;TRUE;\\
38;&;79;&;82;&;51;&;26;&;37;&;1.89572;&;0.863377;&;TRUE;\\
43;&;93;&;72;&;48;&;25;&;32;&;8.03221;&;0.154469;&;TRUE;\\
45;&;82;&;81;&;52;&;27;&;26;&;5.79733;&;0.326442;&;TRUE;\\
41;&;81;&;77;&;57;&;28;&;29;&;2.53282;&;0.771545;&;TRUE;\\
47;&;76;&;74;&;54;&;29;&;33;&;3.52528;&;0.619566;&;TRUE;\\
42;&;71;&;73;&;67;&;35;&;25;&;7.30943;&;0.198626;&;TRUE;\\
42;&;89;&;68;&;44;&;34;&;36;&;6.51041;&;0.25967;&;TRUE;\\
49;&;66;&;76;&;50;&;34;&;38;&;6.22912;&;0.284559;&;TRUE;\\
50;&;81;&;61;&;49;&;34;&;38;&;9.77287;&;0.0819326;&;TRUE;\\
39;&;81;&;70;&;51;&;37;&;35;&;2.28848;&;0.807957;&;TRUE;\\
40;&;75;&;69;&;64;&;27;&;38;&;3.9283;&;0.559785;&;TRUE;\\
44;&;68;&;81;&;56;&;25;&;39;&;4.42615;&;0.489825;&;TRUE;\\
43;&;72;&;73;&;57;&;39;&;29;&;4.23838;&;0.51563;&;TRUE;\\
41;&;81;&;72;&;49;&;36;&;34;&;2.4029;&;0.791042;&;TRUE;\\
49;&;68;&;78;&;42;&;42;&;34;&;11.0065;&;0.0512522;&;TRUE;\\
46;&;79;&;67;&;45;&;40;&;36;&;7.70678;&;0.173153;&;TRUE;\\
39;&;89;&;71;&;51;&;22;&;41;&;7.40637;&;0.192129;&;TRUE;\\
43;&;83;&;75;&;53;&;22;&;37;&;5.17291;&;0.395145;&;TRUE;\\
58;&;78;&;69;&;41;&;31;&;36;&;16.9394;&;0.00461617;&;FALSE;\\
44;&;67;&;83;&;67;&;26;&;26;&;9.09557;&;0.105312;&;TRUE;\\
35;&;74;&;82;&;51;&;39;&;32;&;2.35862;&;0.797619;&;TRUE;\\
45;&;79;&;76;&;50;&;27;&;36;&;3.28985;&;0.655396;&;TRUE;\\
54;&;75;&;68;&;52;&;32;&;32;&;9.84071;&;0.0798766;&;TRUE;\\
39;&;77;&;72;&;50;&;34;&;41;&;2.11219;&;0.833414;&;TRUE;\\
55;&;68;&;71;&;60;&;27;&;32;&;12.1522;&;0.0327605;&;TRUE;\\
57;&;69;&;77;&;50;&;28;&;32;&;13.0812;&;0.0226297;&;TRUE;\\
47;&;60;&;81;&;62;&;26;&;37;&;8.56917;&;0.127532;&;TRUE;\\
45;&;65;&;92;&;54;&;31;&;26;&;8.41226;&;0.134931;&;TRUE;\\
39;&;72;&;72;&;57;&;39;&;34;&;2.4077;&;0.790328;&;TRUE;\\
47;&;78;&;80;&;49;&;21;&;38;&;7.6719;&;0.175269;&;TRUE;\\
46;&;68;&;82;&;50;&;35;&;32;&;4.35415;&;0.499631;&;TRUE;\\
42;&;67;&;86;&;63;&;28;&;27;&;6.29595;&;0.278477;&;TRUE;\\
40;&;70;&;73;&;64;&;21;&;45;&;9.23052;&;0.100215;&;TRUE;\\
41;&;76;&;68;&;57;&;29;&;42;&;3.49655;&;0.623909;&;TRUE;\\
50;&;76;&;73;&;52;&;28;&;34;&;5.82585;&;0.323535;&;TRUE;\\
47;&;60;&;74;&;56;&;37;&;39;&;7.63256;&;0.177682;&;TRUE;\\
43;&;80;&;77;&;44;&;23;&;46;&;9.35268;&;0.0957971;&;TRUE;\\
35;&;67;&;104;&;51;&;29;&;27;&;12.2834;&;0.0311045;&;TRUE;\\
44;&;86;&;68;&;57;&;28;&;30;&;5.40352;&;0.368641;&;TRUE;\\
